horse_id	日付	開催	天気	R	レース名	映像	頭数	枠番	馬番	オッズ	人気	着順	騎手	斤量	距離	馬場	馬場指数	タイム	着差	ﾀｲﾑ指数	通過	ペース	上り	馬体重	厩舎ｺﾒﾝﾄ	備考	勝ち馬(2着馬)	賞金
2020104295	2024/08/07	川崎	曇	9	紅蓮賞		12	4	4	207.2	12.0	11	藤江渉	54	ダ900	良	**	0:57.2	1.9	**	12-12	28.9-38.1	38.3	475(-2)			プリンセスロージー	
2020104295	2024/07/25	川崎	雨	8	迅速賞		11	6	6	159.4	11.0	10	藤江渉	54	ダ900	良	**	0:56.3	1.9	**	9-9	28.6-37.3	38.0	477(+3)			ビップレジアス	
2020104295	2024/07/01	川崎	雨	9	閃光賞		9	7	7	145.6	9.0	7	藤江渉	54	ダ900	重	**	0:57.0	1.8	**	9-9	29.0-37.9	38.3	474(-4)			ビップレジアス	
2020104295	2024/06/11	川崎	晴	6	駿逸賞		12	8	12	26.8	6.0	12	藤江渉	54	ダ900	稍	**	0:57.5	3.0	**	5-9	29.1-37.2	39.6	478(-8)			トニープリンス	
2020104295	2024/05/10	園田	晴	8	B1B2		7	7	7	53.7	7.0	6	井上幹太	55	ダ1230	良	**	1:23.4	4.6	**	2-2-3-7	0.0-39.1	43.6	486(-1)			フローラルドレス	
2020104295	2024/04/24	園田	曇	11	春光特別B1B2		9	1	1	5.8	3.0	9	井上幹太	55	ダ1230	重	**	1:23.7	4.4	**	6-6-7-7	0.0-38.6	42.0	487(-6)			ナムラコマチ	
2020104295	2024/04/02	園田	晴	8	B1		6	6	6	9.3	3.0	6	井上幹太	54	ダ1400	良	**	1:35.2	1.0	**	3-3-3-2	0.0-39.7	40.4	493(+19)			サクラトップクロス	
2020104295	2024/02/18	2小倉4	晴	3	4歳以上1勝クラス		14	5	8	58.7	10.0	14	石田拓郎	53	ダ1000	良	**	1:02.0	2.9	**	2-5	33.9-36.6	39.4	474(0)			クロンヌドラレーヌ	
2020104295	2024/01/28	1小倉6	曇	3	4歳以上1勝クラス		14	2	2	41.5	10.0	13	佐々木大	55	ダ1000	良	**	1:01.2	3.1	**	4-4	33.9-35.4	38.1	474(+16)			マキアージュ	
2020104295	2023/09/24	4中山7	晴	8	3歳以上1勝クラス		16	8	15	16.4	7.0	16	小林脩斗	52	ダ1200	稍	**	1:15.5	4.1	**	5-8	33.2-38.2	41.6	458(-10)			トモジャミ	
2020104295	2023/05/20	1京都9	晴	6	3歳1勝クラス		15	1	1			除	小林脩斗	52	ダ1200	稍	**			**		34.9-37.3		454(-14)			ドンアミティエ	
2020104295	2023/04/15	3中山7	雨	1	3歳未勝利		15	1	1	2.4	2.0	1	小林脩斗	52	ダ1200	稍	**	1:11.7	-0.2	**	1-1	34.5-37.2	37.2	468(+2)			(レディアス)	550.0
2020104295	2023/03/26	3中山2	小雨	1	3歳未勝利		16	6	11	12.3	5.0	2	小林脩斗	52	ダ1200	不	**	1:11.5	0.3	**	3-2	33.5-37.7	37.9	466(-4)			ダノンフレア	220.0
2020104295	2023/01/05	1中山1	晴	1	3歳未勝利		16	6	12	58.8	7.0	7	武藤雅	54	ダ1200	良	**	1:14.0	1.4	**	2-3	33.7-38.9	40.1	470(+14)			シュバルツガイスト	
2020104295	2022/08/13	3新潟1	晴	1	2歳未勝利		15	1	1	12.2	6.0	13	小林脩斗	52	ダ1200	良	**	1:14.7	2.1	**	10-10	34.1-38.5	39.4	456(-2)			ペイシャフェリ	
2020104295	2022/07/24	2福島8	晴	6	2歳新馬		14	4	5	4.5	3.0	5	江田照男	54	芝1200	良	**	1:12.4	1.4	**	6-4	34.5-36.5	37.3	458(0)			アウクソー	70.0
